Taxon_Common,Taxon_Scientific,Family,Order
Snow Goose,Anser caerulescens,Anatidae,Anseriformes
Greater White-fronted Goose,Anser albifrons,Anatidae,Anseriformes
Brant,Branta bernicla,Anatidae,Anseriformes
Cackling Goose,Branta hutchinsii,Anatidae,Anseriformes
Canada Goose,Branta canadensis,Anatidae,Anseriformes
Tundra Swan,Cygnus columbianus,Anatidae,Anseriformes
Wood Duck,Aix sponsa,Anatidae,Anseriformes
Blue-winged Teal,Spatula discors,Anatidae,Anseriformes
Northern Shoveler,Spatula clypeata,Anatidae,Anseriformes
Gadwall,Mareca strepera,Anatidae,Anseriformes
Eurasian Wigeon,Mareca penelope,Anatidae,Anseriformes
American Wigeon,Mareca americana,Anatidae,Anseriformes
Mallard,Anas platyrhynchos,Anatidae,Anseriformes
American Black Duck,Anas rubripes,Anatidae,Anseriformes
Northern Pintail,Anas acuta,Anatidae,Anseriformes
Green-winged Teal,Anas crecca,Anatidae,Anseriformes
Canvasback,Aythya valisineria,Anatidae,Anseriformes
Redhead,Aythya americana,Anatidae,Anseriformes
Ring-necked Duck,Aythya collaris,Anatidae,Anseriformes
Greater Scaup,Aythya marila,Anatidae,Anseriformes
Lesser Scaup,Aythya affinis,Anatidae,Anseriformes
King Eider,Somateria spectabilis,Anatidae,Anseriformes
Common Eider,Somateria mollissima,Anatidae,Anseriformes
Harlequin Duck,Histrionicus histrionicus,Anatidae,Anseriformes
Surf Scoter,Melanitta perspicillata,Anatidae,Anseriformes
White-winged Scoter,Melanitta deglandi,Anatidae,Anseriformes
Black Scoter,Melanitta americana,Anatidae,Anseriformes
Long-tailed Duck,Clangula hyemalis,Anatidae,Anseriformes
Bufflehead,Bucephala albeola,Anatidae,Anseriformes
Common Goldeneye,Bucephala clangula,Anatidae,Anseriformes
Barrow's Goldeneye,Bucephala islandica,Anatidae,Anseriformes
Hooded Merganser,Lophodytes cucullatus,Anatidae,Anseriformes
Common Merganser,Mergus merganser,Anatidae,Anseriformes
Red-breasted Merganser,Mergus serrator,Anatidae,Anseriformes
Ruddy Duck,Oxyura jamaicensis,Anatidae,Anseriformes
Wild Turkey,Meleagris gallopavo,Phasianidae,Galliformes
Ruffed Grouse,Bonasa umbellus,Phasianidae,Galliformes
Pied-billed Grebe,Podilymbus podiceps,Podicipedidae,Podicipediformes
Horned Grebe,Podiceps auritus,Podicipedidae,Podicipediformes
Red-necked Grebe,Podiceps grisegena,Podicipedidae,Podicipediformes
Mourning Dove,Zenaida macroura,Columbidae,Columbiformes
Yellow-billed Cuckoo,Coccyzus americanus,Cuculidae,Cuculiformes
Black-billed Cuckoo,Coccyzus erythropthalmus,Cuculidae,Cuculiformes
Common Nighthawk,Chordeiles minor,Caprimulgidae,Caprimulgiformes
Eastern Whip-poor-will,Antrostomus vociferus,Caprimulgidae,Caprimulgiformes
Chimney Swift,Chaetura pelagica,Apodidae,Caprimulgiformes
Ruby-throated Hummingbird,Archilochus colubris,Trochilidae,Caprimulgiformes
King Rail,Rallus elegans,Rallidae,Gruiformes
Clapper Rail,Rallus crepitans,Rallidae,Gruiformes
Virginia Rail,Rallus limicola,Rallidae,Gruiformes
Sora,Porzana carolina,Rallidae,Gruiformes
Common Gallinule,Gallinula galeata,Rallidae,Gruiformes
American Coot,Fulica americana,Rallidae,Gruiformes
Sandhill Crane,Antigone canadensis,Gruidae,Gruiformes
American Avocet,Recurvirostra americana,Recurvirostridae,Charadriiformes
American Oystercatcher,Haematopus palliatus,Haematopodidae,Charadriiformes
Black-bellied Plover,Pluvialis squatarola,Charadriidae,Charadriiformes
American Golden-Plover,Pluvialis dominica,Charadriidae,Charadriiformes
Killdeer,Charadrius vociferus,Charadriidae,Charadriiformes
Semipalmated Plover,Charadrius semipalmatus,Charadriidae,Charadriiformes
Piping Plover,Charadrius melodus,Charadriidae,Charadriiformes
Upland Sandpiper,Bartramia longicauda,Scolopacidae,Charadriiformes
Whimbrel,Numenius phaeopus,Scolopacidae,Charadriiformes
Hudsonian Godwit,Limosa haemastica,Scolopacidae,Charadriiformes
Marbled Godwit,Limosa fedoa,Scolopacidae,Charadriiformes
Ruddy Turnstone,Arenaria interpres,Scolopacidae,Charadriiformes
Red Knot,Calidris canutus,Scolopacidae,Charadriiformes
Stilt Sandpiper,Calidris himantopus,Scolopacidae,Charadriiformes
Sanderling,Calidris alba,Scolopacidae,Charadriiformes
Dunlin,Calidris alpina,Scolopacidae,Charadriiformes
Purple Sandpiper,Calidris maritima,Scolopacidae,Charadriiformes
Baird's Sandpiper,Calidris bairdii,Scolopacidae,Charadriiformes
Least Sandpiper,Calidris minutilla,Scolopacidae,Charadriiformes
White-rumped Sandpiper,Calidris fuscicollis,Scolopacidae,Charadriiformes
Buff-breasted Sandpiper,Calidris subruficollis,Scolopacidae,Charadriiformes
Pectoral Sandpiper,Calidris melanotos,Scolopacidae,Charadriiformes
Semipalmated Sandpiper,Calidris pusilla,Scolopacidae,Charadriiformes
Western Sandpiper,Calidris mauri,Scolopacidae,Charadriiformes
Short-billed Dowitcher,Limnodromus griseus,Scolopacidae,Charadriiformes
Long-billed Dowitcher,Limnodromus scolopaceus,Scolopacidae,Charadriiformes
American Woodcock,Scolopax minor,Scolopacidae,Charadriiformes
Wilson's Snipe,Gallinago delicata,Scolopacidae,Charadriiformes
Spotted Sandpiper,Actitis macularius,Scolopacidae,Charadriiformes
Solitary Sandpiper,Tringa solitaria,Scolopacidae,Charadriiformes
Lesser Yellowlegs,Tringa flavipes,Scolopacidae,Charadriiformes
Willet,Tringa semipalmata,Scolopacidae,Charadriiformes
Greater Yellowlegs,Tringa melanoleuca,Scolopacidae,Charadriiformes
Wilson's Phalarope,Phalaropus tricolor,Scolopacidae,Charadriiformes
Red-necked Phalarope,Phalaropus lobatus,Scolopacidae,Charadriiformes
Parasitic Jaeger,Stercorarius parasiticus,Stercorariidae,Charadriiformes
Razorbill,Alca torda,Alcidae,Charadriiformes
Bonaparte's Gull,Chroicocephalus philadelphia,Laridae,Charadriiformes
Black-headed Gull,Chroicocephalus ridibundus,Laridae,Charadriiformes
Laughing Gull,Leucophaeus atricilla,Laridae,Charadriiformes
Ring-billed Gull,Larus delawarensis,Laridae,Charadriiformes
Herring Gull,Larus argentatus,Laridae,Charadriiformes
Iceland Gull,Larus glaucoides,Laridae,Charadriiformes
Lesser Black-backed Gull,Larus fuscus,Laridae,Charadriiformes
Glaucous Gull,Larus hyperboreus,Laridae,Charadriiformes
Great Black-backed Gull,Larus marinus,Laridae,Charadriiformes
Least Tern,Sternula antillarum,Laridae,Charadriiformes
Caspian Tern,Hydroprogne caspia,Laridae,Charadriiformes
Black Tern,Chlidonias niger,Laridae,Charadriiformes
Roseate Tern,Sterna dougallii,Laridae,Charadriiformes
Common Tern,Sterna hirundo,Laridae,Charadriiformes
Forster's Tern,Sterna forsteri,Laridae,Charadriiformes
Royal Tern,Thalasseus maximus,Laridae,Charadriiformes
Black Skimmer,Rynchops niger,Laridae,Charadriiformes
Red-throated Loon,Gavia stellata,Gaviidae,Gaviiformes
Common Loon,Gavia immer,Gaviidae,Gaviiformes
Wilson's Storm-Petrel,Oceanites oceanicus,Oceanitidae,Procellariiformes
Northern Gannet,Morus bassanus,Sulidae,Suliformes
Double-crested Cormorant,Nannopterum auritum,Phalacrocoracidae,Suliformes
Great Cormorant,Phalacrocorax carbo,Phalacrocoracidae,Suliformes
American White Pelican,Pelecanus erythrorhynchos,Pelecanidae,Pelecaniformes
American Bittern,Botaurus lentiginosus,Ardeidae,Pelecaniformes
Least Bittern,Ixobrychus exilis,Ardeidae,Pelecaniformes
Great Blue Heron,Ardea herodias,Ardeidae,Pelecaniformes
Great Egret,Ardea alba,Ardeidae,Pelecaniformes
Snowy Egret,Egretta thula,Ardeidae,Pelecaniformes
Little Blue Heron,Egretta caerulea,Ardeidae,Pelecaniformes
Tricolored Heron,Egretta tricolor,Ardeidae,Pelecaniformes
Western Cattle Egret,Bubulcus ibis,Ardeidae,Pelecaniformes
Green Heron,Butorides virescens,Ardeidae,Pelecaniformes
Black-crowned Night Heron,Nycticorax nycticorax,Ardeidae,Pelecaniformes
Yellow-crowned Night Heron,Nyctanassa violacea,Ardeidae,Pelecaniformes
Glossy Ibis,Plegadis falcinellus,Threskiornithidae,Pelecaniformes
White-faced Ibis,Plegadis chihi,Threskiornithidae,Pelecaniformes
Black Vulture,Coragyps atratus,Cathartidae,Cathartiformes
Turkey Vulture,Cathartes aura,Cathartidae,Cathartiformes
Osprey,Pandion haliaetus,Pandionidae,Accipitriformes
Swallow-tailed Kite,Elanoides forficatus,Accipitridae,Accipitriformes
Golden Eagle,Aquila chrysaetos,Accipitridae,Accipitriformes
Northern Harrier,Circus hudsonius,Accipitridae,Accipitriformes
Sharp-shinned Hawk,Accipiter striatus,Accipitridae,Accipitriformes
Cooper's Hawk,Accipiter cooperii,Accipitridae,Accipitriformes
American Goshawk,Accipiter atricapillus,Accipitridae,Accipitriformes
Bald Eagle,Haliaeetus leucocephalus,Accipitridae,Accipitriformes
Mississippi Kite,Ictinia mississippiensis,Accipitridae,Accipitriformes
Red-shouldered Hawk,Buteo lineatus,Accipitridae,Accipitriformes
Broad-winged Hawk,Buteo platypterus,Accipitridae,Accipitriformes
Red-tailed Hawk,Buteo jamaicensis,Accipitridae,Accipitriformes
Rough-legged Hawk,Buteo lagopus,Accipitridae,Accipitriformes
Barn Owl,Tyto alba,Tytonidae,Strigiformes
Eastern Screech-Owl,Megascops asio,Strigidae,Strigiformes
Great Horned Owl,Bubo virginianus,Strigidae,Strigiformes
Snowy Owl,Bubo scandiacus,Strigidae,Strigiformes
Barred Owl,Strix varia,Strigidae,Strigiformes
Long-eared Owl,Asio otus,Strigidae,Strigiformes
Short-eared Owl,Asio flammeus,Strigidae,Strigiformes
Northern Saw-whet Owl,Aegolius acadicus,Strigidae,Strigiformes
Belted Kingfisher,Megaceryle alcyon,Alcedinidae,Coraciiformes
Red-headed Woodpecker,Melanerpes erythrocephalus,Picidae,Piciformes
Red-bellied Woodpecker,Melanerpes carolinus,Picidae,Piciformes
Yellow-bellied Sapsucker,Sphyrapicus varius,Picidae,Piciformes
Downy Woodpecker,Dryobates pubescens,Picidae,Piciformes
Hairy Woodpecker,Dryobates villosus,Picidae,Piciformes
Northern Flicker,Colaptes auratus,Picidae,Piciformes
Pileated Woodpecker,Dryocopus pileatus,Picidae,Piciformes
American Kestrel,Falco sparverius,Falconidae,Falconiformes
Merlin,Falco columbarius,Falconidae,Falconiformes
Peregrine Falcon,Falco peregrinus,Falconidae,Falconiformes
Great Crested Flycatcher,Myiarchus crinitus,Tyrannidae,Passeriformes
Western Kingbird,Tyrannus verticalis,Tyrannidae,Passeriformes
Eastern Kingbird,Tyrannus tyrannus,Tyrannidae,Passeriformes
Olive-sided Flycatcher,Contopus cooperi,Tyrannidae,Passeriformes
Eastern Wood-Pewee,Contopus virens,Tyrannidae,Passeriformes
Yellow-bellied Flycatcher,Empidonax flaviventris,Tyrannidae,Passeriformes
Acadian Flycatcher,Empidonax virescens,Tyrannidae,Passeriformes
Alder Flycatcher,Empidonax alnorum,Tyrannidae,Passeriformes
Willow Flycatcher,Empidonax traillii,Tyrannidae,Passeriformes
Least Flycatcher,Empidonax minimus,Tyrannidae,Passeriformes
Eastern Phoebe,Sayornis phoebe,Tyrannidae,Passeriformes
Northern Shrike,Lanius borealis,Laniidae,Passeriformes
White-eyed Vireo,Vireo griseus,Vireonidae,Passeriformes
Yellow-throated Vireo,Vireo flavifrons,Vireonidae,Passeriformes
Blue-headed Vireo,Vireo solitarius,Vireonidae,Passeriformes
Philadelphia Vireo,Vireo philadelphicus,Vireonidae,Passeriformes
Warbling Vireo,Vireo gilvus,Vireonidae,Passeriformes
Red-eyed Vireo,Vireo olivaceus,Vireonidae,Passeriformes
Blue Jay,Cyanocitta cristata,Corvidae,Passeriformes
American Crow,Corvus brachyrhynchos,Corvidae,Passeriformes
Fish Crow,Corvus ossifragus,Corvidae,Passeriformes
Common Raven,Corvus corax,Corvidae,Passeriformes
Horned Lark,Eremophila alpestris,Alaudidae,Passeriformes
Bank Swallow,Riparia riparia,Hirundinidae,Passeriformes
Tree Swallow,Tachycineta bicolor,Hirundinidae,Passeriformes
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Hirundinidae,Passeriformes
Purple Martin,Progne subis,Hirundinidae,Passeriformes
Barn Swallow,Hirundo rustica,Hirundinidae,Passeriformes
Cliff Swallow,Petrochelidon pyrrhonota,Hirundinidae,Passeriformes
Cave Swallow,Petrochelidon fulva,Hirundinidae,Passeriformes
Black-capped Chickadee,Poecile atricapillus,Paridae,Passeriformes
Tufted Titmouse,Baeolophus bicolor,Paridae,Passeriformes
Red-breasted Nuthatch,Sitta canadensis,Sittidae,Passeriformes
White-breasted Nuthatch,Sitta carolinensis,Sittidae,Passeriformes
Brown Creeper,Certhia americana,Certhiidae,Passeriformes
Carolina Wren,Thryothorus ludovicianus,Troglodytidae,Passeriformes
House Wren,Troglodytes aedon,Troglodytidae,Passeriformes
Winter Wren,Troglodytes hiemalis,Troglodytidae,Passeriformes
Sedge Wren,Cistothorus stellaris,Troglodytidae,Passeriformes
Marsh Wren,Cistothorus palustris,Troglodytidae,Passeriformes
Blue-gray Gnatcatcher,Polioptila caerulea,Polioptilidae,Passeriformes
Golden-crowned Kinglet,Regulus satrapa,Regulidae,Passeriformes
Ruby-crowned Kinglet,Corthylio calendula,Regulidae,Passeriformes
Eastern Bluebird,Sialia sialis,Turdidae,Passeriformes
Veery,Catharus fuscescens,Turdidae,Passeriformes
Gray-cheeked Thrush,Catharus minimus,Turdidae,Passeriformes
Swainson's Thrush,Catharus ustulatus,Turdidae,Passeriformes
Hermit Thrush,Catharus guttatus,Turdidae,Passeriformes
Wood Thrush,Hylocichla mustelina,Turdidae,Passeriformes
American Robin,Turdus migratorius,Turdidae,Passeriformes
Gray Catbird,Dumetella carolinensis,Mimidae,Passeriformes
Brown Thrasher,Toxostoma rufum,Mimidae,Passeriformes
Northern Mockingbird,Mimus polyglottos,Mimidae,Passeriformes
Cedar Waxwing,Bombycilla cedrorum,Bombycillidae,Passeriformes
American Pipit,Anthus rubescens,Motacillidae,Passeriformes
Evening Grosbeak,Coccothraustes vespertinus,Fringillidae,Passeriformes
House Finch,Haemorhous mexicanus,Fringillidae,Passeriformes
Purple Finch,Haemorhous purpureus,Fringillidae,Passeriformes
Common Redpoll,Acanthis flammea,Fringillidae,Passeriformes
Red Crossbill,Loxia curvirostra,Fringillidae,Passeriformes
White-winged Crossbill,Loxia leucoptera,Fringillidae,Passeriformes
Pine Siskin,Spinus pinus,Fringillidae,Passeriformes
American Goldfinch,Spinus tristis,Fringillidae,Passeriformes
Lapland Longspur,Calcarius lapponicus,Calcariidae,Passeriformes
Snow Bunting,Plectrophenax nivalis,Calcariidae,Passeriformes
Grasshopper Sparrow,Ammodramus savannarum,Passerellidae,Passeriformes
Lark Sparrow,Chondestes grammacus,Passerellidae,Passeriformes
Chipping Sparrow,Spizella passerina,Passerellidae,Passeriformes
Clay-colored Sparrow,Spizella pallida,Passerellidae,Passeriformes
Field Sparrow,Spizella pusilla,Passerellidae,Passeriformes
Fox Sparrow,Passerella iliaca,Passerellidae,Passeriformes
American Tree Sparrow,Spizelloides arborea,Passerellidae,Passeriformes
Dark-eyed Junco,Junco hyemalis,Passerellidae,Passeriformes
White-crowned Sparrow,Zonotrichia leucophrys,Passerellidae,Passeriformes
White-throated Sparrow,Zonotrichia albicollis,Passerellidae,Passeriformes
Vesper Sparrow,Pooecetes gramineus,Passerellidae,Passeriformes
Seaside Sparrow,Ammospiza maritima,Passerellidae,Passeriformes
Nelson's Sparrow,Ammospiza nelsoni,Passerellidae,Passeriformes
Saltmarsh Sparrow,Ammospiza caudacuta,Passerellidae,Passeriformes
Savannah Sparrow,Passerculus sandwichensis,Passerellidae,Passeriformes
Song Sparrow,Melospiza melodia,Passerellidae,Passeriformes
Lincoln's Sparrow,Melospiza lincolnii,Passerellidae,Passeriformes
Swamp Sparrow,Melospiza georgiana,Passerellidae,Passeriformes
Eastern Towhee,Pipilo erythrophthalmus,Passerellidae,Passeriformes
Yellow-breasted Chat,Icteria virens,Icteriidae,Passeriformes
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Icteridae,Passeriformes
Bobolink,Dolichonyx oryzivorus,Icteridae,Passeriformes
Eastern Meadowlark,Sturnella magna,Icteridae,Passeriformes
Orchard Oriole,Icterus spurius,Icteridae,Passeriformes
Baltimore Oriole,Icterus galbula,Icteridae,Passeriformes
Red-winged Blackbird,Agelaius phoeniceus,Icteridae,Passeriformes
Brown-headed Cowbird,Molothrus ater,Icteridae,Passeriformes
Rusty Blackbird,Euphagus carolinus,Icteridae,Passeriformes
Common Grackle,Quiscalus quiscula,Icteridae,Passeriformes
Boat-tailed Grackle,Quiscalus major,Icteridae,Passeriformes
Ovenbird,Seiurus aurocapilla,Parulidae,Passeriformes
Worm-eating Warbler,Helmitheros vermivorum,Parulidae,Passeriformes
Louisiana Waterthrush,Parkesia motacilla,Parulidae,Passeriformes
Northern Waterthrush,Parkesia noveboracensis,Parulidae,Passeriformes
Golden-winged Warbler,Vermivora chrysoptera,Parulidae,Passeriformes
Blue-winged Warbler,Vermivora cyanoptera,Parulidae,Passeriformes
Black-and-white Warbler,Mniotilta varia,Parulidae,Passeriformes
Prothonotary Warbler,Protonotaria citrea,Parulidae,Passeriformes
Tennessee Warbler,Leiothlypis peregrina,Parulidae,Passeriformes
Orange-crowned Warbler,Leiothlypis celata,Parulidae,Passeriformes
Nashville Warbler,Leiothlypis ruficapilla,Parulidae,Passeriformes
Connecticut Warbler,Oporornis agilis,Parulidae,Passeriformes
Mourning Warbler,Geothlypis philadelphia,Parulidae,Passeriformes
Kentucky Warbler,Geothlypis formosa,Parulidae,Passeriformes
Common Yellowthroat,Geothlypis trichas,Parulidae,Passeriformes
Hooded Warbler,Setophaga citrina,Parulidae,Passeriformes
American Redstart,Setophaga ruticilla,Parulidae,Passeriformes
Cape May Warbler,Setophaga tigrina,Parulidae,Passeriformes
Cerulean Warbler,Setophaga cerulea,Parulidae,Passeriformes
Northern Parula,Setophaga americana,Parulidae,Passeriformes
Magnolia Warbler,Setophaga magnolia,Parulidae,Passeriformes
Bay-breasted Warbler,Setophaga castanea,Parulidae,Passeriformes
Blackburnian Warbler,Setophaga fusca,Parulidae,Passeriformes
Yellow Warbler,Setophaga petechia,Parulidae,Passeriformes
Chestnut-sided Warbler,Setophaga pensylvanica,Parulidae,Passeriformes
Blackpoll Warbler,Setophaga striata,Parulidae,Passeriformes
Black-throated Blue Warbler,Setophaga caerulescens,Parulidae,Passeriformes
Palm Warbler,Setophaga palmarum,Parulidae,Passeriformes
Pine Warbler,Setophaga pinus,Parulidae,Passeriformes
Yellow-rumped Warbler,Setophaga coronata,Parulidae,Passeriformes
Yellow-throated Warbler,Setophaga dominica,Parulidae,Passeriformes
Prairie Warbler,Setophaga discolor,Parulidae,Passeriformes
Black-throated Green Warbler,Setophaga virens,Parulidae,Passeriformes
Canada Warbler,Cardellina canadensis,Parulidae,Passeriformes
Wilson's Warbler,Cardellina pusilla,Parulidae,Passeriformes
Summer Tanager,Piranga rubra,Cardinalidae,Passeriformes
Scarlet Tanager,Piranga olivacea,Cardinalidae,Passeriformes
Northern Cardinal,Cardinalis cardinalis,Cardinalidae,Passeriformes
Rose-breasted Grosbeak,Pheucticus ludovicianus,Cardinalidae,Passeriformes
Blue Grosbeak,Passerina caerulea,Cardinalidae,Passeriformes
Indigo Bunting,Passerina cyanea,Cardinalidae,Passeriformes
Dickcissel,Spiza americana,Cardinalidae,Passeriformes
